293.78 1304.91   74.38663 -69.90504 
 191.07 1625.18  74.31927 -69.89767 
 657.20 1960.92  74.24868 -69.93134 
1052.55 1301.22  74.38783 -69.95987 
1334.22 1530.30  74.33969 -69.98027 
1796.15 1461.32  74.35442 -70.01362 
  78.75  194.51  74.62000 -69.88919 
 424.54  328.44  74.59237 -69.91425 
 913.68  555.20  74.54506 -69.94964 
1658.49  421.59  74.57422 -70.00342 
1583.80  650.56  74.52575 -69.99820 
1030.69  945.96  74.46246 -69.95835 
 738.83 1102.40  74.42956 -69.93712 
 621.11  866.07  74.47932 -69.92860 
1366.64   77.62  74.64605 -69.98223
