49.00 1938.20   84.07939800 -68.58878900 
161.51 2007.22   84.05775000 -68.59420900 
383.25 2024.41   84.01450600 -68.59635300 
379.97 1687.82   84.00935300 -68.57233100 
755.48 1660.88   83.93511200 -68.57293100 
1020.01 1535.54  83.87953700 -68.56514500 
1468.86 2030.70   83.79899800 -68.60335600 
1463.40 1693.55   83.79580900 -68.57894500 
1489.64 1639.39   83.78997000 -68.57514200 
1509.87 1552.95   83.78487800 -68.56903700 
1782.92 1728.34   83.73361700 -68.58314200 
11.57  84.07214800 -68.52070000 
13.40  84.07072500 -68.51705300 
216.81  84.03093100 -68.51959200 
602.98 1383.84   83.96161200 -68.55174800 
889.00 1120.16   83.90062500 -68.53432800 
901.95  868.17 83.89404200 -68.51620900 
 51.86  343.55   84.05379800 -68.47343900 
272.52  673.27   84.01471400 -68.49873400 
452.07  615.28   83.97878400 -68.49561700 
710.69  415.87   83.92504200 -68.48249200 
454.80  146.13   83.97107800 -68.46172500 
1157.13 1090.25   83.84728100 -68.53357800
1459.10  990.69   83.78621200 -68.52800000
1905.73 1137.89   83.70030000 -68.54109200
1530.17  772.50   83.76929500 -68.51257500
1229.72  455.23 83.82361400 -68.48811200 
1680.01  459.45 83.73507800 -68.49073700 
1892.26  518.52 83.69393700 -68.49608400 
1401.89  188.28 83.78571200 -68.46973100 
1692.90  133.54 83.72761400 -68.46734200 
1936.95  186.14 83.68017300 -68.47261700 
