 220.91 1696.90   84.97382 -69.37338 
 630.27 1929.02   84.89384 -69.39245 
 988.14 1955.04   84.82095 -69.39630 
 347.22 1392.97   84.94318 -69.35219 
 666.08 1549.14   84.88033 -69.36524 
  72.66  330.08   84.98245 -69.27381 
  99.80  863.78   84.98541 -69.31264 
 524.68 1066.41   84.90146 -69.32968 
1012.62 1178.28   84.80402 -69.34028 
 726.19  416.18   84.85030 -69.28371 
 957.05  655.17   84.80699 -69.30225 
1276.42  795.68   84.74392 -69.31410 
1325.52 1116.27   84.73915 -69.33755 
1227.74  200.54   84.74466 -69.27084 
1784.51  104.33   84.62970 -69.26683 
1633.16 1753.22   84.68596 -69.38520 
1624.22 1372.22   84.68174 -69.35765 
1987.77 1270.65   84.60581 -69.35221 
1776.20  761.24   84.64126 -69.31443 
