  20.43  217.29  76.97097 -70.37733
 454.74  627.36  76.88312 -70.40886
 433.98  999.24  76.80560 -70.40754
 406.12 1522.60  76.69014 -70.40565
 375.88 1929.15  76.60255 -70.40350
813.09  232.95   76.96838 -70.43474
1404.48  121.71  76.99317 -70.47752
1819.15  198.79  76.97740 -70.50740
1036.03  535.94  76.90336 -70.45093
1429.05  597.66  76.89038 -70.47942
1838.13  795.98  76.84795 -70.50891
1081.33  858.47  76.83262 -70.45430
1018.04 1191.95  76.76207 -70.44981
1665.59 1203.97  76.75954 -70.49665
1884.14 1499.02  76.69567 -70.51241
 966.34 1770.78  76.63732 -70.44619
